id,jam_masuk,jam_istirahat,jam_kembali,jam_pulang
1,37,45,13,32
2,37,45,17,32
3,36,45,15,32
4,36,45,14,32
5,34,45,15,32
6,34,48,12,31
7,34,46,12,30
8,33,47,12,30
9,19,46,5,32
10,29,45,9,30
11,29,46,5,36
12,28,49,3,35
13,26,48,8,32
14,25,45,9,35
15,23,45,7,30
16,22,47,6,30
17,19,45,3,30
18,19,49,10,32
19,17,48,8,36
20,17,48,3,35
21,12,45,5,30
22,10,47,4,36
23,9,46,0,31
24,8,45,1,32
25,8,48,8,31
26,7,49,7,34
27,6,46,6,32
28,6,47,1,34
29,6,45,4,30
30,5,46,2,35
31,5,45,2,33
32,2,45,3,35
33,34,45,10,32
34,33,45,11,30
35,33,45,12,38
36,33,47,11,32
37,33,46,13,37
38,32,47,15,34
39,32,49,9,33
40,32,45,13,34
41,29,48,13,36
42,28,47,10,31
43,27,48,7,34
44,27,46,7,36
45,27,45,7,35
46,25,47,11,35
47,25,46,8,32
48,24,48,10,33
49,23,45,9,30
50,22,47,6,36
51,19,46,5,30
52,19,45,5,33
53,12,47,3,32
54,12,46,4,32
55,10,46,3,34
56,9,45,2,35
57,8,46,3,30
58,8,48,4,30
59,7,45,1,34
60,6,46,3,31
61,4,45,1,32
62,4,45,4,30
63,3,47,3,30
64,2,46,3,33
65,34,45,13,31
66,34,45,12,37
67,34,47,13,37
68,34,46,4,32
69,9,47,8,31
70,28,44,16,36
71,26,48,11,34
72,23,43,9,32
73,22,42,10,36
74,21,43,9,30
75,21,48,7,36
76,20,41,14,31
77,19,43,12,36
78,19,44,13,35
79,18,48,12,34
80,17,43,4,35
81,15,46,14,32
82,14,43,12,34
83,13,47,13,33
84,8,44,10,31
85,8,44,9,32
86,8,45,8,34
87,8,42,8,30
88,5,42,14,30
89,4,42,8,30
90,34,43,15,32
91,33,42,10,32
92,33,42,10,31
93,32,47,13,33
94,32,46,14,30
95,31,45,10,30
96,31,44,9,32
97,31,45,8,33
98,30,46,5,32
99,26,45,11,34
100,25,48,9,30
101,23,45,9,30
102,23,45,13,30
103,23,45,11,31
104,22,46,4,32
105,21,46,6,35
106,21,45,8,35
107,18,45,15,32
108,15,46,14,31
109,11,45,12,32
110,11,47,9,30
111,10,46,7,30
112,9,44,9,30
113,8,46,6,32
114,8,46,8,35
115,7,47,6,33
116,6,46,5,32
117,6,45,6,32
118,5,45,7,30
119,5,45,4,31
120,5,45,5,37
121,4,45,4,35
